'abbrev	abbreviation
dept	department
der	there
derbysh	Derbyshire
deriv	derivative (in etymologies)
dernoe	I don't know
derog	derogatory
descr	description, descriptive
dese	these
detai	don't even think about it
deti	don't even think it
deut	(in the Bible) Deuteronomy
devel	development
devonsh	Devonshire
dewd	Dude
dey	they
df	Dumb Fuck
dfc	DON'T FUCKING CARE
dfik	darn if i know
dfla	disenhanced four-letter acronym (that is, a tla)
dfo	dumb fucking operator
dftba	don't forget to be awesome
dftc	down for the count
dfu	don't fuck up
dfw	down for whatever
dfw/m	Don't Fuck with Me
dfwly	don't forget who loves you
dfwm	Don't Fuck with Me
dfwmt	Don't fucking waste my time
dg	don't go
dga	don't go anywhere
dgac	don't give a crap
dgaf	don't give a fuck
dgara	don't give a rats ass
dgas	Don't give a shit
dgms	Don't get me started
dgoai	don't go on about it
dgt	don't go there
dgtg	don't go there girlfriend
dgyf	damn girl you're fine
dgypiab	don't get your panties in a bunch
dh	dickhead
dhac	Don't have a clue
dhly	does he like you
dhv	Demonstration of Higher Value
dhyb	don't hold your breath
diacf	die in a car fire
diaf	die in a fire
diah	die in a hole
dic	do i care
dick	penis
dict	dictionary
diez	dies
difbet	what's the difference between
diff	difference
diffic	difficult, difficulty
dih	dick in hand
dikhed	dickhead
diku	do i know you
diky	Do I know you
dil	Daughter in law
dilf	dad i'd like to fuck
dillic	Do I look like I care
dillifc	do I look like I fucking care
dilligad	do I look like I give a damn
dilligaf	do I look like I give a fuck
dilligas	do i look like i give a shit
dim	diminutive
din	did not
din't	didn't
dink	double incomes, no kids
dirft	do it right the first time
dirl	Die in real life
dis	this
disc	discourse
discipl	discipline
discov	discovery
discrim	discrimination
diss	dissertation
dist	district
distemp	distemper
distill	distilling
disto	did i say that outloud?
distrib	distribution
dit	Details in Thread
ditr	dancing in the rain
ditto	same here
dityid	did i tell you i'm distressed
div	division
divers	diversity
diy	do it yourself
djm	don't judge me
dju	did you
dk	don't know
dkdc	don't know, don't care
dl	download
dlf	dropping like flies
dlibu	Dont let it bother you
dln	don't look now
dltbbb	don't let the bed bugs bite
dltm	don't lie to me
dm	deathmatch
dmaf	do me a favor
dmba*	dumbass
dmi	don't mention it
dmn	damn
dmu	don't mess up
dmwm	don't mess with me
dmy	don't mess yourself
dn	don't know
dnbl8	do not be late
dnc	does not compute
dnd	Do Not Disturb
dndp	Do not double post
dnimb	dancing naked in my bra
dno	don't know
dnpmpl	damn near pissed my pants laughing
dnrta	did not read the article
dnrtfa	did not read the fucking article
dns	Domain Name System
dnt	do not
dnw	Do not want
doa	dead on arrival
dob	date of birth
doc	document(s)
doctr	doctrine
dod	Day of Defeat
doe	depends on experience
doei	goodbye (in dutch)
dogg	friend
doin	doing
doin'	doing
domest	domestic
don	denial of normal
doncha	Don't you
donno	don't know
dont	don't
dontcha	don't you
dood	dude
doodz	dudes
dord	department of redundancy department
dos	denial of service
dotc	dancing on the ceiling
doypov	depends on your point of view
dp	display picture
dpmo	don't piss me off
dprsd	depressed
dps	damage per second
dpup	don't poop your pants
dqmot	don't quote me on this
dqydj	don't quit your day job
dr00d	druid
drb	dirty rat bastard
drc	don't really care
drcowoto	don't really care one way or the other
drib	don't read if busy
drm	dream
drood	druid
dsided	decided
dstr8	damn straight
dsu	don't screw up
dt	double team
dta	Don't Trust Anyone
dtb	don't text back
dtc	deep throaty chuckle
dtf	down to fuck
dth	down to hang
dtl	damn the luck
dtp	Don't Type Please
dtrt	do the right thing
dts	Don't think so
dttm	don't talk to me
dttml	don't talk to me loser
dttpou	Don't tell the police on us
dttriaa	don't tell the RIAA
du2h	damn you to hell
ducy	do you see why
dugi	do you get it?
dugt	did you get that?
dui	driving under the influence
duk	did you know
dulm	do you like me
dum	dumb
dun	do not
duna	don't use no acronyms
dunna	i don't know
dunno	I don't know
duno	don't know
dupe	duplicate
durh	Durham
durs	damn you are sexy
dusl	do you scream loud?
dust	did you see that?
dutma	don't you text me again
dvda	double vaginal, double anal
dw	don't worry
dw2h	don't work too hard
dwai	don't worry about it
dwb	Driving while black
dwbh	don't worry, be happy
dwbi	Don't worry about it.
dwh	during work hours
dwi	deal with it
dwioyot	Deal With It On Your Own Time
dwmt	don't waste my time
dwn	down
dwpkotl	deep wet passionate kiss on the lips
dws	driving while stupid
dwt	don't wanna talk
dwwwi	surfing the world wide web while intoxicated
dwy	don't wet yourself
dwym	does what you mean
dy2h	damn you to hell
dya	Do you
dyac	damn you auto correct
dycotfc	do you cyber on the first chat
dyec	Don't You Ever Care
dyfm	dude you fascinate me
dygtp	did you get the picture
dyhab	do you have a boyfriend?
dyhag	do you have a girlfriend
dyjhiw	don't you just hate it when...
dyk	did you know
dylh	do you like him
dyli	do you love it?
dylm	do you love me
dylos	do you like oral sex
dym	Do you mind
dynk	do you not know
dynm	do you know me
dyofdw	do your own fucking dirty work
dyslog	dyslogistic
dystsott	did you see the size of that thing
dyt	Don't you think
dyth	Damn You To Hell
dyw	don't you worry
dyw2gwm	do you want to go with me
dywtmusw	do you want to meet up some where
dz	does
e afr	East Africa(n)
e angl	East Anglia(n)
e anglian	East Anglian
e ind	East Indies, East Indian
e midl	east midland (dialect)
e-ok	Electronically OK
e.g.	example
e123	easy as one, two, three
e2ho	each to his/her own
e4u2s	easy for you to say
eabos	eat a bag of shit
ead	eat a dick
eak	eating at keyboard
eapfs	everything about pittsburgh fucking sucks
east ind	East Indies, East Indian
ebitda	earnings before interest, taxes, depreciation and amortization
eccl	ecclesiastical
eccl hist	ecclesiastical history
eccl law	ecclesiastical law
eccles	ecclesiastical
ecclus	(in the Apocrypha) Ecclesiasticus
ecf	error carried forward
ecol	ecology, ecological
econ	economics, economic(al)
ed	edition
edd	English Dialect Dictionary
edin	Edinburgh
edinb	Edinburgh
educ	education, education(al)
edumacation	education
edw	Edward
ee	electronic emission
eedyat	idiot
eejit	idiot
eets	Early English Text Society
ef	Fuck
ef-ing	fucking
efct	effect
efffl	extra friendly friends for life
effin	fucking
effing	Fucking
eft	electronic funds transfer
eg	example
egypt	Egyptian
egyptol	Egyptology
ehlp	help
eil	explode into laughter
eip	eggo is preggo
el	evil laugh
el!t	elite
electr	electricity, electric(al)
electr engin	electrical engineering
electro-magn	electro-magnetism
electro-physiol	electro-physiology
elem	element(s), elementary
eleo	Extremely Low Earth Orbit
eliz	Elizabeth
elizab	Elizabethan
ellipt	elliptical(ly)
ello	hello
elo	hello
elol	evil laugh out loud
em	them
ema	e-mail address
emb	embassy
embm	early morning business meeting
embryol	embryology, embryologic(al)
emfbi	excuse me for butting in
emfji	excuse me for jumping in
emi	excuse my ignorance
eml	email me later
emm	email me
emo	emotional
emp	eat my pussy
emph	emphatic(ally)
emrtw	evil monkey's rule the world
emsg	e-mail message
enat	every now and then
encycl	encyclopaedia, encyclopaedic
encycl brit	Encyclopaedia Britannica
encycl metrop	Encyclopaedia Metropolitana
eng	England, English
engin	engineering
englishw	Englishwomen
enit	isn't it
enof	enough
enq	enquiry
ent	entomology, entomological
enthus	enthusiasm
entom	entomology, entomological
entomol	entomology, entomological
enuf	enough
enuff	enough
enzymol	enzymology
eob	End of Business
eoc	end of conversation
eod	End of day
eoe	(in dates) early Old English
eof	end of file
eol	end of life
eom	end of message
eos	end of story
eot	end of transmission
eotw	end of the world
ep	epistle
epa	Emergency Parent Alert
eph	(in the Bible) Ephesians
ephes	(in the Bible) Ephesians
epil	epilogue
episc	episcopacy
epist	epistle
epit	epitaph
eq	Everquest
eq2	Everquest2
equip	equipment
ere	here
erron	erroneous(ly)
errythin	everything
esad	eat shit and die
esadyfa	eat shit and die you fucking asshole
esadyffb	eat shit and die you fat fucking bastard
esbm	Everyone sucks but me
esc	escape
esd	(in the Apocrypha) Esdras
esemed	every second every minute every day
esfoad	eat  fuck off and die
esg	environmental, social, governance
esh	experience, strength, and hope
esl	eat shit loser
esmf	eat shit mother fucker
eso	equipment smarter than operator
esp	especially
ess	essay(s)
essent	essential
establ	establishment
esth	(in the Bible) Esther
eta	Estimated Time of Arrival
ethnol	ethnology
etla	extended three letter acronym
etmda	Explain it to my dumb ass
etp	eager to please
etx	end of text
etym	etymology
eula	end user license agreement
euphem	euphemistic(ally)
ev1	everyone
eva	ever
evaa	ever
eval	evaluation
evang	evangelical
evar	ever
evercrack	Everquest
every1	everyone
evid	evidence
evn	even
evol	evolution, evolutionary
evr	ever
evre1	every one
evry	every
evry1	every one
evrytin	everything
ewi	e-mailing while intoxicated
ex doc	executive document
ex-bf	Ex-Boy Friend
ex-gf	Ex-Girl Friend
exalt	exaltation
exc	except
exch	exchange
exec	execution
exerc	exercise(s)
exhib	exhibition, exhibit(s)
exod	(in the Bible) Exodus
exp	experience
exped	expedition
exper	experiment, experimental
explan	explanation
explic	explication
explor	exploration
expos	exposition, expository
ey	hey
eyez	eyes
ez	Easy
ezek	(in the Bible) Ezekiel
ezi	easy
f u	fuck you
f-ing	fucking
f.b.	facebook
f.m.l.	fuck my life
f.u.	fuck you
f'n	fucking
f@	fat
f/o	fuck off
f&e	forever and ever
f#cking	Fucking
f00k	Fuck.
f2f	face to face
f2fmail	face-to-face mail
f2p	free to play
f2t	Free to talk
f4c3	face
f4eaa	friends forever and always
f4f	female for female
f4m	female for male
f8	fate
f9	fine
fa-q	Fuck you
fab	fabulous
faf	find a friend
faggit	faggot
fah	Funny as hell
faic	For All I Care
fam	family
famil	familiar(ly)
fankle	area between foot and ankle
fao	for attention of
fap	masturbate
fapping	masterbating
faq	frequently asked question
faql	frequently asked questions list
farew	farewell
farg	fuck
fasb	fast ass son bitchii
fashizzle	for sure
fatm	foaming at the mouth
fav	Favorite
fave	favorite
fawc	for anyone who cares
fawk	fuck
fawomft	frequently argued waste of my fucking time
fay	fuck all y'all
fb	fuck buddy
fbi	fucking brilliant idea
fbimcl	Fall Back In My Chair Laughing
fbk	facebook
fbks	failure between keyboard and seat
fbocd	facebook obsessive compulsive disorder
fbtw	Fine Be That Way
fc	fruit cake
fcbk	facebook
fcfs	first come first served
fck	fuck
fckd	fucked
fckin	fucking
fcking	fucking
fckm3hdbayb	Fuck Me Hard Baby
fcku	fuck you
fcol	for crying out loud
fcuk	fuck
fdff	falling down fucking funny
fdgb	fall down go boom
fe	fatal error
feb	February
feck	fuck
fem	feminine
fer	for
ferr	For
ff	friendly fire
ff&pn	fresh fields and pastures new
ffa	free for all
ffcl	falling from chair laughing
ffr	for future reference
ffs	for fuck's sake
fft	food for thought
ffxi	Final Fantasy 11
fg	fucking gay
fgdai	fuhgedaboudit
fgi	fucking google it
fgs	for God's sake
fgssu	For Gods sake shut up
fgt	faggot
fi	fuck it
fi9	fine
fibijar	fuck it buddy, I'm just a reserve
fif	fuck i'm funny
fifesh	Fifeshire
fifo	first in, first out
fify	Fixed It For You
figjam	fuck I'm good, just ask me
figmo	Fuck it - got my orders
fiic	Fucked If I Care
fiik	Fucked If I Know
fil	father-in-law
filf	father i'd like to fuck
fimh	forever in my heart
fio	figure it out
fitb	fill in the blank
fiv	five
fk	fuck
fker	fucker
fkin	fucking
fking	Fucking
fkm	fuck 'em
fkn	Fucking
fku	fuck you
fl	floruit, ‘flourished’
fla	four letter acronym
flamer	angry poster
flicks	pictures
floabt	for lack of a better term
fm	fuck me
fmah	fuck my ass hole
fmao	freezing my ass of
fmb	fuck me bitch
fmbb	Fuck Me Baby
fmbo	fuck my brains out
fmfl	Fuck my Fucking life
fmflth	Fuck My Fucking Life To Hell
fmh	Fuck me hard
fmhb	fuck me hard bitch
fmi	for my information
fmir	family member in room
fmita	fuck me in the ass
fml	fuck my life
fmltwia	fuck me like the whore I am
fmn	Fuck me now
fmnb	fuck me now bitch
fmnkml	fuck me now kiss me later
fmph	fuck my pussy hard
fmq	fuck me quick
fmr	fuck me runnig
fmsh	Fuck me so hard
fmth	fuck me to hell
fmtyewtk	far more than you ever wanted to know
fmuta	fuck me up the ass
fmutp	fuck me up the pussy
fn	first name
fnar	For No Apparent Reason
fnci	fancy
fng	fucking new guy
fnny	funny
fnpr	for no particular reason
fny	funny
fo	fuck off
fo shizzle	for sure
fo sho	for sure
fo`	for
foa	fuck off asshole
foad	fuck off and die
foaf	friend of a friend
foag	fuck off and google
foah	fuck off asshole
fob	fresh off the boat
foc	free of charge
focl	Falling Off Chair Laughing.
fofl	fall on the floor laughing
fogc	fear of getting caught
foia	freedom of information act
fol	farting out loud
folo	Follow
fomc	fell off my chair
fomcl	falling off my chair laughing
fomo	fear of missing out
fomofo	fuck off mother fucker
fone	phone
foo	fool
foobar	fucked up beyond all recognition
foocl	falls out of chair laughing
fook	fuck
footpr	footprint
for sheeze	for sure
forfarsh	Forfarshire
fortif	fortification
fortn	fortnightly
fos	full of shit
foshizzle	for sure
fosho	for sure
foss	free, open source software
fotcl	fell off the chair laughing
fotm	Flavour of the month
fouc	Fuck off you cunt
found	foundation(s)
fouo	for official use only
fov	Field of View
foyb	fuck off you bitch
fp	first post
fpmitap	federal pound me in the ass prison
fpo	for placement only
fpos	fucking piece of shit
fps	First Person Shooter
fr	French
frag	kill
fragged	killed
fragm	fragment(s)
fratern	fraternity
fred	fucking ridiculous electronic device
fren	friend
frens	friends
freq	frequently
frgt	forgot
fri.	Friday
friendsh	friendship
friggin	freaking
frk	freak
frm	from
frnd	friend
frnds	friends
fs	For Sure
fsbo	for sale by owner
fsho	for sure
fsm	flying spaghetti monster
fsob	Fucking son of a bitch
fsod	frosn screen of death
fsr	for some reason
fst	fast
fsu	fuck shit up
ft	FUCK THAT
ft2t	From time to time
fta	From The Article
ftasb	faster than a speeding bullet
ftb	Fuck That Bitch
ftbfs	Failed to build from source
ftbomh	from the bottom of my heart
ftc	failure to communicate
fte	full time employee
ftf	face to face
ftfa	From The Fucking Article
ftfoi	for the fun of it
ftfw	For the fucking win!
ftfy	Fixed that for you
ftio	fun time is over
ftk	For the Kill
ftl	For The Lose
ftlog	for the love of god
ftlt	For the last time
ftmfw	for the mother fucking win
ftmp	For the most part
ftn	fuck that noise
ftp	file transfer protocol
ftr	For The Record
ftrf	fuck that's really funny
fts	fuck that shit
fttb	for the time being
fttp	for the time being
ftw	For the win!
fu	fuck you
fu2	fuck you too
fua	fuck you all
fuah	fuck you ass hole
fub	fuck you bitch
fubah	fucked up beyond all hope
fubalm	fucked up beyond all local maintenance
fubar	fucked up beyond all recognition
fubb	fucked up beyond belief
fubh	fucked up beyond hope
fubohic	fuck you Bend over here it comes
fubr	Fucked Up Beyond Recognition
fubyoyo	fuck you buddy you're on your own
fucken	Fucking
fucktard	fucking retard
fuctard	fucking retard
fud	fear, uncertainty and doubt
fudh	fuck you dick head
fudie	fuck you and die
fugly	fucking ugly
fuh-q	fuck you
fuhget	forget
fujimo	fuck you jack i'm movin' on
fuk	fuck
fukin	fucking
fukk	fuck
fukkin	fucking
fukn	fucking
fukr	fucker
fum	fucked up mess
fumf	fat ugly mother fucker
fumfer	fuck you mother fucker
fund	fundamental(s)
funee	funny
funner	more fun
funy	funny
fupa	fat upper pussy area
fuq	fuck you
furnit	furniture
furtb	filled up and ready to burst
fus	fuck yourself
fut	future
fuu	fuck you up
fuw	fuck you world
fux	fuck
fuxing	fucking
fuxor	fucker
fuxored	Fucked
fvck	fuck
fwb	Friends with Benefits
fwd	forward
fwiw	for what it's worth
fwm	Fine With Me
fwob	friends with occasional benefits
fwot	fucking waste of time
fxe	foxy
fxp	file exchange protocol
fy	fuck you
fya	for your attention
fyad	fuck you and die
fyah	fuck you asshole
fyb	fuck you bitch
fyc	fuck your couch
fye	For Your Entertainment
fyeo	For your eyes only
fyf	fuck your face
fyfi	For Your Fucking Information
fyi	for your information
fyifv	fuck you i'm fully vested
fyk	for your knowledge
fyl	For your Love
fyltge	from your lips to gods ears
fym	fuck your mom
fyp	fixed your post
fyrb	fuck you right back
fysbigtbabn	fasten your seat belts it's going to be a bumpy night
g	guess
g'nite	good night
g@y	gay
g/f	girlfriend
g/g	got to go
g0	go
g00g13	Google
g1	good one
g2	go to
g2/-/	go to hell
g2bg	got to be going
g2bl8	going to be late
g2cu	glad to see you
g2e	got to eat
g2g	got to go
g2g2tb	got to go to the bathroom
g2g2w	got to go to work
g2g4aw	got to go for a while
g2gb	got to go bye
g2gb2wn	got to go back to work now
g2ge	got to go eat
g2glys	got to go love ya so
g2gn	got to go now
g2gp	got to go pee
g2gpc	got 2 go parents coming
g2gpp	got to go pee pee
g2gs	got to go sorry
g2h	go to hell
g2hb	go to hell bitch
g2k	good to know
g2p	got to pee
g2t2s	got to talk to someone
g3y	gay
g4i	go for it
g4n	good for nothing
g4u	good for you
g4y	good for you
g8	gate
g9	good night
ga	go ahead
gaalma	go away and leave me alone
gab	getting a beer
gaf	good as fuck
gafi	get away from it
gafl	get a fucking life
gafm	Get away from me
gafyk	get away from your keyboard
gagf	go and get fucked
gagfi	gives a gay first impression
gagp	go and get pissed
gah	gay ass homo
gahoy	get a hold of yourself
gai	gay
gaj	get a job
gal	girl
galgal	give a little get a little
galher	get a load of her
galhim	get a load of him
gamez	illegally obtained games
ganb	getting another beer
gangsta	gangster
gank	kill
gaoep	generally accepted office etiquette principles
gard	garden, gardening
gastron	gastronomy
gaw	grandparents are watching
gawd	god
gaz	gazette
gb	Go back
gb2	go back to
gba	game boy advance
gbg	great big grin
gbh	great big hug
gbioua	Go blow it out your ass
gbnf	Gone but not forgotten
gbtw	go back to work
gbu	god bless you
gby	good bye
gc	good crib
gcad	get cancer and die
gcf	Google Click Fraud
gd	good
gd&r	grins, ducks, and runs
gd4u	Good For You
gday	Good Day
gdby	good bye
gded	grounded
gdgd	good good
gdi	God Damn it
gdiaf	go die in a fire
gdih	Go die in hell
gdilf	Grandad I'd Like To Fuck
gdmfpos	god damn mother fucking piece of shit
gdr	grinning, ducking, running
gdw	grin, duck and wave
gemo	gay emo
gen	general
geo	George
geog	geography
geogr	geography, geographic(al)
geol	geology, geologic(al)
geom	geometry, geometric(al)
geomorphol	geomorphology
ger	German
gerund	gerundial
getcha	get you
geto	ghetto
gewd	good
gey	gay
gf	girlfriend
gfad	go fuck a duck
gfadh	go fuck a dead horse
gfak	go fly a kite
gfam	Go Fuck A Monkey
gfar2cu	go find a rock to crawl under
gfas	go fuck a sheep
gfd	god fucking damnit
gfe	Girl Friend experience
gfe2e	grinning from ear to ear
gff	go fucking figure
gfg	good fucking game
gfgi	go fucking google it
gfi	good fucking idea
gfj	good fucking job
gfl	grounded for life
gfn	gone for now
gfo	go fuck off
gfon	good for one night
gfr	grim file reaper
gftd	gone for the day
gfu	go fuck yourself
gfurs	go fuck yourself
gfus	go fuck yourself
gfx	graphics
gfy	good for you
gfyd	go fuck your dad
gfym	go fuck your mom
gfymf	go fuck yourself mother fucker
gfys	go fuck yourself
gg	good game
gga	good game all
ggal	go get a life
ggf	go get fucked
ggg	Go, go, go!
gggg	god, god, god, god
ggn	gotta go now
ggnore	good game no rematch
ggoh	gotta get out of here
ggp	gotta go pee
ggpaw	gotta go parents are watching
ggpbl	gotta go, pacemaker battery low
ggs	good games
ggy	go google yourself
gh	good half
ghei	Gay
ghey	gay
ghm	god help me
gi	google it
gic	gift in crib
gidk	gee i don't know
gigatt	god is good all the time
gigig	get it got it good
gigo	garbage in garbage out
gilf	Grandma I'd like to fuck
gim	google instant messanger
gimme	give me
gimmie	give me
gir	google it retard
gis	Google Image Search
gist	great ideas for starting things
gitar	guitar
giv	give
giwist	gee, i wish i'd said that
giyf	google is your friend
gj	good job
gjial	go jump in a lake
gjp	good job partner
gjsu	god just shut up
gjt	good job team
gky	Go kill yourself
gkys	Go kill yourself
gl	good luck
gl hf	good luck, have fun
gl&hf	good luck and have fun
gla	good luck all
glac	glacier(s)
glasg	Glasgow
glb	good looking boy
glbt	Gay, lesbian, bisexual, transgenderd
glf	group looking for
glg	good looking girl
glgh	good luck and good hunting
glhf	good luck have fun
glln	Got Laid Last Night
glnhf	Good Luck and Have Fun
glos	Gloucestershire
glouc	Gloucestershire
gloucestersh	Gloucestershire
glty	Good luck this year
glu	girl like us
glu2	good luck to you too
glux	good luck
glwt	good luck with that
glyasdi	god loves you and so do i
gm	good morning
gma	grandma
gmab	give me a break
gmabj	give me a blowjob
gmafb	give me a fucking break
gmao	Giggling my ass off
gmfao	Giggling My Fucking Ass Off
gmilf	grandmother i'd like to fuck
gmily	good morning i love you
gmod	Global Moderator
gmta	great minds think alike
gmta asdo	great minds think alike, and so do ours
gmtft	great minds think for themselves
gmtyt	good morning to you too
gmv	Got my vote
gmybs	give me your best shot
gn	good night
gn8	good night
gnasd	good night and sweet dreams
gnblfy	got nothing but love for you
gndn	Goes nowhere,does nothing
gnfpwlbn	good news for people who love bad news
gng	going
gngbng	gang bang
gnight	good night
gnite	good night
gnn	get naked now
gno	going to do
gnoc	get naked on cam
gnos	get naked on screen
gnr	Guns n' roses
gnrn	get naked right now
gns	gangnam style
gnsd	good night sweet dreams
gnst	goodnight sleep tight
gnstdltbbb	good night sleep tight don't let the bed bugs bite
gob	game on bitch
goc	get on camera
goi	get over it
goia	get over it already
goin	going
gok	God Only Knows
gokid	got observers - keep it decent
gokw	God Only Knows Why
gol	giggle out loud
gomb	get off my back
goml	get out of my life
gona	Gonna
gonna	going to
good job	get out of debt job
good9	goodnite
gooh	get out of here!
goomh	get out of my head
gork	God only really knows
gos	gay or straight
gosad	go suck a dick
gosp	gospel(s)
gotc	get on the computer
gotdpwyd	get off the damn phone while you're driving
gotta	got to
gov	government
govt	government
gow	gears of war
gowi	get on with it
goya	Get Off Your Ass
goyhh	get off your high horse
gp	good point
gpb	gotta pee bad
gpwm	good point well made
gqmf	gentleman's quarterly mother fucker
gr	grammar
gr&d	grinning running & ducking
gr2br	good riddance to bad rubbish
gr8	great
gr8t	great
gram	grammar
gramm analysis	grammatical analysis
gras	generally recognized as safe
grats	congratulations
gratz	congratulations
grfx	graphics
grillz	metal teeth
grl	girl
grmbl	grumble
grobr	good riddance of bad rubbish
grog	beer
grrl	Girl
grrlz	girls, also seen as grrl
grrr	growling
grtg	Getting ready to go
grvy	groovy
gsad	go suck a dick
gsave	global struggle against violent extremists
gsc	gimme some credit
gsd	getting shit done
gsfg	Go search fucking google
gsi	go suck it
gsoas	go sit on a snake
gsoh	Good Sense of Humor
gsp	get some pussy
gsta	Gangster
gsw	gun shot wound
gsyjdwurmnkh	good seeing you, just don't wear your monkey hat
gt	get
gta	Grand Theft Auto
gtas	go take a shit
gtasc	going to a strip club
gtb	Go To Bed
gtf	get the fuck
gtfa	Go The Fuck Away
gtfbtw	get the fuck back to work
gtfh	go to fucking hell
gtfo	get the fuck out
gtfoi	get the fuck over it
gtfon	Get the fuck out noob
gtfooh	get the fuck out of here
gtfoomf	get the fuck out of my face
gtfu	grow the fuck up
gtfuotb	get the fuck up out this bitch
gtg	got to go
gtgb	got to go bye
gtgbb	got to go bye bye
gtgfn	got to go for now
gtgmmiloms	got to go my mum is looking over my shoulder
gtgn	got to go now
gtgp	got to go pee
gtgpp	got to go pee pee
gtgtb	got to go to bed
gtgtpirio	got to go the price is right is on
gtgtwn	Got to go to work now
gth	go to hell
gtha	go the hell away
gthb	go to hell bitch
gthmf	go to hell mothafucka
gtho	get the hell out
gthu	grow the heck up
gthyfah	go to hell you fucking asshole
gtk	good to know
gtm	giggling to myself
gtn	getting
gtp	Got to pee
gtr	Got to run
gtrm	going to read mail
gts	going to school
gtsy	good to see you
gttp	get to the point
gtty	good talking to you
gu	grow up
gu2i	get used to it
gud	good
gudd	good
gui	graphical user interface
gurl	girl
gurlz	girls
guru	expert
guvment	government, also seen as guvmint, gumint
gw	good work
gwi	get with it
gwijd	guess what i just did
gwm	gay white male
gwork	good work
gwot	glorified waste of time
gwrk	good work
gws	get well soon
gwytose	go waste your time on someone else
gy	gay
gyal	girl
gyhooya	get your head out of your ass
gynaecol	gynaecology
gypo	Get Your Penis Out
h.o	hold on
h*r	homestar runner
h/e	However
h/mo	homo
h/o	hold on
h/p	hold please
h/u	hold up
h/w	homework
h&k	hugs and kisses
h+k	hugs and kisses
h2	how to
h2gtb	have to go to the bathroom
h2o	water
h2s	here to stay
h2sys	hope to see you soon
h3y	hey
h4kz0r5	hackers
h4u	hot for you
h4x	Hacks
h4x0r	hacker
h4xor	hacker
h4xr	hacker
h4xrz	hackers
h4xx0r	hacker
h4xx0rz	hacker
h4xxor	hacker
h8	hate
h80r	hater
h82sit	hate to say it
h83r	hater
h8ed	hated
h8er	hater
h8r	hater
h8red	Hatred
h8s	hates
h8t	hate
h8t0r	hater
h8t3r	hater
h8te	hate
h8tr	hater
h8u	I Hate You
h9	Husband in Room
ha>	hacker
hab	(in the Bible) Habakkuk
habt	how about this
hadvd	have advised
haematol	haematology
hafta	have to
hag	(in the Bible) Haggai
hag1	have a good one
hagd	have a good day
hagl	have a great life
hagn	have a good night
hago	have a good one
hags	have a great summer
hahaha	laughing
hai	hello
hait	hate
hak	here's a kiss
hakas	have a kick ass summer
hammrd	hammered
hampsh	Hampshire
han	how about now
handbk	handbook
hants	Hampshire
har	hit and run
hau	How Are You
hav	have
havnt	haven't
hawf	Husband and Wife forever
hawt	hot
hawtie	hottie
hawtlw	hello and welcome to last week
hax	Hacks
hax0r	hacker
hax0red	hacked
hax0rz	Hackers
haxer	Hacker
haxor	hacker
haxoring	hacking
haxors	hackers
haxorz	hackers
haxxor	hacker
haxxzor	Hacker
haxz0r	Hacker
haxzor	hacker
hay	how are you?
hayd	how are you doing
hb	hurry back
hb4b	hoes before bros
hbastd	hitting bottom and starting to dig
hbb	hip beyond belief
hbd	happy birthday
hbib	hot but inappropriate boy
hbic	head bitch in charge
hbii	how big is it
hbo	helping a brother out
hbu	how about you
hby	how about you
hc	how come
hcbt1	he could be the one
hcc	holy computer crap
hcib	how can it be
hcihy	how can I help you
hd	hold
hdgfs	how does get fucked sound?
hdop	Help Delete Online Predators
hdu	how dare you
hdydi	How do you do it
hdydt	how did you do that
he's	He is
heb	Hebrew
hebr	(in the Bible) Hebrews
heh	haha
hella	very
hen	Henry
heref	Herefordshire
hereford	Herefordshire
herefordsh	Herefordshire
hertfordsh	Hertfordshire
heya	hey
heyt	hate
heyy	hello
heyya	hello
hf	have fun
hfn	Hell fucking no
hfs	holy fucking shit!
hfsbm	holy fucking shit batman
hfwt	have fun with that
hg	HockeyGod
hght	height
hhfo	hell has frozen over
hhh	hip hip hooray
hhiad	holy hole in a doughnut
hhiadb	Holy Hole in a Donut Batman
hhis	hanging head in shame
hho1/2k	ha ha, only half kidding
hhoj	ha-ha, only joking
hhok	Ha Ha Only Kidding
hhos	ha-ha, only serious
hhtyay	happy holidays to you and yours
hhyb	how have you been
hi 5	high five
hi2u	hello
hi2u2	hello to you too
hierogl	Hieroglyphic
hiet	height
hig	how's it going?
hih	hope it helps
hiik	Hell If I Know
hiooc	help, i'm out of coffee
hist	historical
histol	histology, histologic(al)
hitaks	hang in there and keep smiling
hith	how in the hell
hiw	husband is watching
hiya	hello
hiybbprqag	copying somebody else's search results
hj	hand job
hl	Half-Life
hl2	Half-Life 2
hla	Hot lesbian action
hlb	horny little bastard
hld	hold
hldn	hold on
hldon	hold on
hll	Hell
hlm	he loves me
hlo	hello
hlp	help
hly	holy
hlysht	Holy shit
hmb	hold me back
hmewrk	homework
hmfic	head mother fucker in charge
hml	hate my life
hmoj	holy mother of jesus
hmu	Hit Me Up
hmul	Hit me up later
hmw	homework
hmwk	homework
hmwrk	Homework
hng	horny net geek
hngry	hungry
hnic	head nigger in charge
hnti	how nice that/this is
hntw	how nice that was
hny	happy new year
ho	hold on
hoas	Hang on a second
hoay	how old are you
hoh	head of household
hoha	hollywood hacker
hoic	hold on, i'm coming
hom	home
homey	Friend
homie	good friend
homo	homosexual
hoopty	broke down automobile
horol	horology
hort	horticulture, horticultural
hos	(in the Bible) Hosea
hosp	hospital
